"date","cheveux","age","exp","salaire","sexe","diplome","specialite","note","dispo","embauche","annee","mois","jour","age_Q","exp_Q","note_Q","salaire_Q","age_D","note_D","salaire_D"
2010-01-01,"blond",22,8,35554,"M","master","geologie",72.41,"oui","0","2010",1,1,"[18-30[","[7-9[","[64-76[","[34964-38348[","[18-24[","[71-76[","[34964-36216["
2010-01-01,"brun",42,6,38102,"M","licence","geologie",72.46,"non","0","2010",1,1,"[35-42[","[0-7[","[64-76[","[34964-38348[","[40-43[","[71-76[","[37615-39172["
2010-01-01,"brun",34,14,36232,"M","licence","geologie",65.43,"non","0","2010",1,1,"[30-35[","[12-23[","[64-76[","[34964-38348[","[31-34[","[61-67[","[36216-37615["
2010-01-01,"brun",32,7,37425,"M","master","geologie",92.64,"oui","0","2010",1,1,"[30-35[","[0-7[","[87-144[","[34964-38348[","[31-34[","[90-98[","[36216-37615["
2010-01-01,"brun",25,13,46881,"M","bac","geologie",29.52,"non","0","2010",1,1,"[18-30[","[12-23[","[9-64[","[38348-53977[","[24-28[","[9-54[","[41358-53977["
2010-01-01,"chatain",33,13,27486,"F","doctorat","geologie",91.8,"non","0","2010",1,1,"[30-35[","[12-23[","[87-144[","[14128-31591[","[31-34[","[90-98[","[14128-28534["
2010-01-01,"brun",28,11,39194,"M","master","forage",95.11,"oui","1","2010",1,1,"[18-30[","[9-12[","[87-144[","[38348-53977[","[24-28[","[90-98[","[39172-41358["
2010-01-01,"brun",40,9,44539,"F","licence","archeologie",70.46,"oui","1","2010",1,1,"[35-42[","[7-9[","[64-76[","[38348-53977[","[37-40[","[67-71[","[41358-53977["
2010-01-01,"chatain",35,9,35963,"F","doctorat","detective",82.94,"oui","0","2010",1,1,"[30-35[","[7-9[","[76-87[","[34964-38348[","[34-35[","[80-85[","[34964-36216["
2010-01-01,"brun",32,10,25011,"F","master","geologie",104.83,"non","0","2010",1,1,"[30-35[","[9-12[","[87-144[","[14128-31591[","[31-34[","[98-144[","[14128-28534["
2010-01-01,"chatain",41,11,43376,"M","master","geologie",83.63,"oui","0","2010",1,1,"[35-42[","[9-12[","[76-87[","[38348-53977[","[40-43[","[80-85[","[41358-53977["
